Base,Comm,Agent_number,Dataset,Pred_length,MSE,MAE
Hete,fully,4,AQWan,720,0.870644211769104,0.5339977145195007
Hete,fully,20,AQWan,336,0.7834287881851196,0.49881839752197266
Hete,fully,8,AQWan,192,0.7957804799079895,0.4944491982460022
Hete,fully,24,AQWan,96,0.8137454986572266,0.49068236351013184
Hete,fully,24,AQWan,720,0.8815809488296509,0.5363697409629822
Hete,fully,4,AQWan,336,0.774039626121521,0.4998304843902588
Hete,fully,12,AQWan,96,0.8239524364471436,0.4936516582965851
Hete,fully,12,AQWan,192,0.8025563955307007,0.4953567087650299
Hete,fully,8,AQWan,96,0.8164364099502563,0.4909031093120575
Hete,fully,16,AQWan,720,0.8868283033370972,0.5367984771728516
Hete,fully,20,AQWan,720,0.8908676505088806,0.5382235646247864
Hete,fully,4,AQWan,96,0.8268611431121826,0.49466630816459656
Hete,fully,8,AQWan,720,0.8785437941551208,0.5352222919464111
Hete,fully,24,AQWan,336,0.7752647399902344,0.5004937052726746
Hete,fully,12,AQWan,720,0.8882296085357666,0.5376548767089844
Hete,fully,12,AQWan,336,0.7728090286254883,0.4993116855621338
Hete,fully,20,AQWan,192,0.8015550971031189,0.4957824945449829
Hete,fully,24,AQWan,192,0.8012014031410217,0.49587884545326233
Hete,fully,16,AQWan,336,0.7754231095314026,0.5009596943855286
Hete,fully,8,CzeLan,336,0.23682108521461487,0.28362131118774414
Hete,fully,16,CzeLan,192,0.218450665473938,0.2612234055995941
Hete,fully,4,CzeLan,192,0.2143068164587021,0.2582390308380127
Hete,fully,16,CzeLan,96,0.20527350902557373,0.24928422272205353
Hete,fully,20,CzeLan,96,0.20692378282546997,0.25060829520225525
Hete,fully,4,CzeLan,720,0.2504459321498871,0.2996402084827423
Hete,fully,20,CzeLan,336,0.23223112523555756,0.28806811571121216
Hete,fully,8,CzeLan,192,0.21985238790512085,0.26543229818344116
Hete,fully,24,CzeLan,96,0.21080364286899567,0.2525296211242676
Hete,fully,24,CzeLan,720,0.2672775089740753,0.30866336822509766
Hete,fully,4,CzeLan,336,0.22987791895866394,0.27848801016807556
Hete,fully,12,CzeLan,96,0.20806622505187988,0.25273510813713074
Hete,fully,12,CzeLan,192,0.21796871721744537,0.26060009002685547
Hete,fully,8,CzeLan,96,0.2081756293773651,0.252255380153656
Hete,fully,16,CzeLan,720,0.2633719742298126,0.306122362613678
Hete,fully,20,CzeLan,720,0.26630815863609314,0.30902740359306335
Hete,fully,4,CzeLan,96,0.20619149506092072,0.25178733468055725
Hete,fully,8,CzeLan,720,0.2624659538269043,0.300604909658432
Hete,fully,24,CzeLan,336,0.234858438372612,0.2862769663333893
Hete,fully,12,CzeLan,720,0.2547541856765747,0.2999461889266968
Hete,fully,12,CzeLan,336,0.23108737170696259,0.2846119999885559
Hete,fully,20,CzeLan,192,0.22244738042354584,0.26512452960014343
Hete,fully,24,CzeLan,192,0.22264394164085388,0.26636895537376404
Hete,fully,16,CzeLan,336,0.23797579109668732,0.28862661123275757
Hete,fully,8,ETTh1,336,0.44391340017318726,0.44254082441329956
Hete,fully,16,ETTh1,192,0.4336168169975281,0.425889790058136
Hete,fully,4,ETTh1,192,0.4297831058502197,0.4234003722667694
Hete,fully,16,ETTh1,96,0.38672950863838196,0.4007744789123535
Hete,fully,20,ETTh1,96,0.3907879590988159,0.4011402726173401
Hete,fully,4,ETTh1,720,0.5049948692321777,0.4999949634075165
Hete,fully,20,ETTh1,336,0.44726526737213135,0.44503507018089294
Hete,fully,8,ETTh1,192,0.4299502670764923,0.4235760569572449
Hete,fully,24,ETTh1,96,0.38980862498283386,0.4008347690105438
Hete,fully,24,ETTh1,720,0.49249267578125,0.4905126988887787
Hete,fully,4,ETTh1,336,0.4438236653804779,0.44311612844467163
Hete,fully,12,ETTh1,96,0.3858379125595093,0.3999065160751343
Hete,fully,12,ETTh1,192,0.43250158429145813,0.4250076413154602
Hete,fully,8,ETTh1,96,0.38614240288734436,0.4009712040424347
Hete,fully,16,ETTh1,720,0.4922075867652893,0.4904788136482239
Hete,fully,20,ETTh1,720,0.48753368854522705,0.4877226948738098
Hete,fully,4,ETTh1,96,0.38185742497444153,0.3980560898780823
Hete,fully,8,ETTh1,720,0.49278318881988525,0.4905567169189453
Hete,fully,24,ETTh1,336,0.44455283880233765,0.4434565305709839
Hete,fully,12,ETTh1,720,0.4985849857330322,0.49533069133758545
Hete,fully,12,ETTh1,336,0.4446814954280853,0.44362062215805054
Hete,fully,20,ETTh1,192,0.4312587082386017,0.424913227558136
Hete,fully,24,ETTh1,192,0.43002039194107056,0.4250919222831726
Hete,fully,16,ETTh1,336,0.44666221737861633,0.44452014565467834
Hete,fully,8,ETTh2,336,0.38552388548851013,0.4124320149421692
Hete,fully,16,ETTh2,192,0.36756107211112976,0.3945485055446625
Hete,fully,4,ETTh2,192,0.37082430720329285,0.3988678753376007
Hete,fully,16,ETTh2,96,0.28975385427474976,0.3415665328502655
Hete,fully,20,ETTh2,96,0.2913757264614105,0.34278371930122375
Hete,fully,4,ETTh2,720,0.44247427582740784,0.4668583869934082
Hete,fully,20,ETTh2,336,0.3754121959209442,0.4077529311180115
Hete,fully,8,ETTh2,192,0.3626443147659302,0.39270204305648804
Hete,fully,24,ETTh2,96,0.2912726104259491,0.342436820268631
Hete,fully,24,ETTh2,720,0.4376440644264221,0.45961764454841614
Hete,fully,4,ETTh2,336,0.38187339901924133,0.4135551154613495
Hete,fully,12,ETTh2,96,0.29131314158439636,0.34305936098098755
Hete,fully,12,ETTh2,192,0.37753018736839294,0.4020686745643616
Hete,fully,8,ETTh2,96,0.2905931770801544,0.3423413634300232
Hete,fully,16,ETTh2,720,0.42404890060424805,0.45088210701942444
Hete,fully,20,ETTh2,720,0.4205402135848999,0.44866207242012024
Hete,fully,4,ETTh2,96,0.30381765961647034,0.3511935770511627
Hete,fully,8,ETTh2,720,0.46284618973731995,0.47328320145606995
Hete,fully,24,ETTh2,336,0.37900757789611816,0.4103787839412689
Hete,fully,12,ETTh2,720,0.43948811292648315,0.4604375660419464
Hete,fully,12,ETTh2,336,0.4000645577907562,0.42125532031059265
Hete,fully,20,ETTh2,192,0.37193694710731506,0.39549848437309265
Hete,fully,24,ETTh2,192,0.37273144721984863,0.3967318832874298
Hete,fully,16,ETTh2,336,0.3767482042312622,0.41027501225471497
Hete,fully,8,ETTm1,336,0.38258230686187744,0.39878320693969727
Hete,fully,16,ETTm1,192,0.35352957248687744,0.3785218596458435
Hete,fully,4,ETTm1,192,0.36343494057655334,0.38245585560798645
Hete,fully,16,ETTm1,96,0.32516974210739136,0.36209747195243835
Hete,fully,20,ETTm1,96,0.3287040591239929,0.363411545753479
Hete,fully,4,ETTm1,720,0.4277191460132599,0.425988107919693
Hete,fully,20,ETTm1,336,0.39471670985221863,0.4048497974872589
Hete,fully,8,ETTm1,192,0.3462825119495392,0.375768780708313
Hete,fully,24,ETTm1,96,0.32939082384109497,0.3639425039291382
Hete,fully,24,ETTm1,720,0.4502094089984894,0.43741169571876526
Hete,fully,4,ETTm1,336,0.387027382850647,0.4006023705005646
Hete,fully,12,ETTm1,96,0.3259600102901459,0.3611598312854767
Hete,fully,12,ETTm1,192,0.3559698462486267,0.3793950080871582
Hete,fully,8,ETTm1,96,0.32963934540748596,0.36291322112083435
Hete,fully,16,ETTm1,720,0.4420866072177887,0.43463200330734253
Hete,fully,20,ETTm1,720,0.4349724352359772,0.42937159538269043
